Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"55173000","0","3283","7.2"
"55383000","0","3283","7.2"
"55594000","0","3283","7.2"
"55803000","0","3283","7.2"
"56210000","0","3283","7.2"
"56478000","0","3283","7.5"
"56688000","0","3283","7.5"
"56899000","0","3283","7.5"
"57114000","0","3283","7.5"
"57521000","0","3283","7.5"
"57790000","0","3283","7.5"
"58000000","0","3283","7.5"
"58209000","0","3283","7.5"
"58419000","0","3282","7.5"
"58826000","0","3282","7.8"
"59094000","0","3283","7.8"
"59303000","0","3283","7.8"
"59513000","0","3283","7.8"
"59724000","0","3283","7.8"
"60130000","0","3283","7.8"
"60398000","0","3283","7.8"
"60609000","0","3282","7.8"
"60819000","0","3282","7.8"
"61029000","0","3282","8.1"
"61436000","0","3282","8.1"
"61703000","0","3283","8.1"
"61913000","0","3283","8.1"
"62123000","0","3283","8.1"
"62334000","0","3283","8.1"
"62741000","0","3283","8.1"
"63009000","0","3282","8.1"
"63219000","0","3282","8.4"
"63429000","0","3282","8.4"
"63639000","0","3283","8.4"
"64047000","0","3283","8.4"
"64315000","0","3283","8.4"
"64525000","0","3283","8.4"
"64735000","0","3283","8.4"
"64945000","0","3283","8.4"
"65352000","0","3283","8.7"
"65621000","0","3283","8.7"
"65831000","0","3283","8.7"
"66040000","0","3283","8.7"
"66251000","0","3283","8.7"
"66659000","0","3283","8.7"
"66926000","0","3283","8.7"
"67141000","0","3283","8.7"
"67351000","0","3283","8.7"
"67560000","0","3283","9.0"
"67968000","0","3283","9.0"
"68236000","0","3283","9.0"
"68446000","0","3283","9.0"
"68656000","0","3283","9.0"
"68865000","0","3283","9.0"
"69273000","0","3283","9.0"
"69541000","0","3283","9.0"
"69750000","0","3282","9.0"
"69959000","0","3282","9.3"
"70169000","0","3282","9.3"
"70576000","0","3283","9.3"
"70844000","0","3283","9.3"
"71054000","0","3283","9.3"
"71265000","0","3283","9.3"
"71475000","0","3283","9.3"
"71882000","0","3283","9.3"
"72150000","0","3283","9.5"
"72359000","0","3283","9.5"
"72568000","0","3283","9.5"
"72779000","0","3283","9.5"
"73187000","0","3283","9.5"
"73397000","0","3283","9.5"
"73665000","0","3283","9.5"
"73875000","0","3283","9.5"
"74085000","0","3283","9.5"
"74494000","0","3283","9.8"
"74761000","0","3283","9.8"
"74970000","0","3283","9.8"
"75181000","0","3283","9.8"
"75390000","0","3283","9.8"
"75798000","0","3283","9.8"
"76065000","0","3283","9.8"
"76276000","0","3283","9.8"
"76485000","0","3283","9.8"
"76696000","0","3283","10.1"
"77108000","0","3283","10.1"
"77376000","0","3283","10.1"
"77587000","0","3283","10.1"
"77797000","0","3283","10.1"
"78007000","0","3283","10.1"
"78414000","0","3283","10.1"
"78682000","0","3283","10.1"
"78892000","0","3283","10.4"
"79102000","0","3283","10.4"
"79312000","0","3283","10.4"
"79719000","0","3283","10.4"
"79987000","0","3283","10.4"
"80197000","0","3283","10.4"
"80407000","0","3283","10.4"
"80616000","0","3283","10.4"
"81024000","0","3283","10.4"
"81292000","0","3283","10.7"
"81502000","0","3283","10.7"
"81712000","0","3283","10.7"
"81921000","0","3283","10.7"
"82328000","0","3283","10.7"
"82596000","0","3283","10.7"
"82807000","0","3283","10.7"
"83016000","0","3283","10.7"
"83225000","0","3283","10.7"
"83633000","0","3283","11.0"
"83901000","0","3283","11.0"
"84110000","0","3283","11.0"
"84320000","0","3283","11.0"
"84530000","0","3283","11.0"
"84938000","0","3283","11.0"
"85205000","0","3283","11.0"
"85415000","0","3283","11.0"
"85624000","0","3283","11.0"
"85834000","0","3283","11.3"
"86300000","0","3283","11.3"
"86510000","0","3283","11.3"
"86720000","0","3283","11.3"
"86929000","0","3283","11.3"
"87145000","0","3283","11.3"
"87553000","0","3283","11.3"
"87821000","0","3283","11.3"
"88031000","0","3283","11.6"
"88240000","0","3283","11.6"
"88450000","0","3283","11.6"
"88915000","0","3283","11.6"
"89125000","0","3283","11.6"
"89335000","0","3283","11.6"
"89544000","0","3283","11.6"
"89756000","0","3283","11.6"
"90162000","0","3283","11.6"
"90430000","0","3283","11.8"
"90640000","0","3283","11.8"
"90849000","0","3283","11.8"
"91059000","0","3283","11.8"
"91466000","0","3283","11.8"
"91734000","0","3283","11.8"
"91945000","0","3283","11.8"
"92154000","0","3282","11.8"
"92364000","0","3282","11.8"
"92773000","0","3282","12.1"
"93040000","0","3282","12.1"
"93255000","0","3282","12.1"
"93466000","0","3283","12.1"
"93676000","0","3283","12.1"
"94083000","0","3283","12.1"
"94351000","0","3283","12.1"
"94562000","0","3283","12.1"
"94771000","0","3282","12.1"
"94982000","0","3282","12.4"
"95388000","0","3282","12.4"
"95656000","0","3282","12.4"
